date,spy_equity_$,spy_drawdown_%,strategy_equity_$,strategy_drawdown_%
2023-12-27,12052.254849887448,0.0,13543.0,-0.4630310157283546
2023-12-28,12057.060474998105,0.0,13543.0,-0.4630310157283546
2023-12-29,12017.856691200648,-0.3251520872666225,13690.0,0.0
2024-01-02,11952.348433113286,-0.8684707363121547,13690.0,0.0
2024-01-03,11855.47714798796,-1.6719110551709715,13732.0,0.0
2024-01-04,11817.790930014922,-1.9844766100272748,13732.0,0.0
2024-01-05,11836.760502820143,-1.827144954898252,13732.0,0.0
2024-01-08,11999.89882894504,-0.4740927207887546,13732.0,0.0
2024-01-09,11988.517085261909,-0.5684917138661594,13732.0,0.0
2024-01-10,12055.03705389888,-0.0167820432137699,13823.0,0.0
2024-01-11,12045.931658952371,-0.0923012376756959,13823.0,0.0
2024-01-12,12055.795836811089,-0.0104887770085992,13823.0,0.0
2024-01-16,12014.062776639605,-0.3566184182924314,13742.0,-0.5859798885914813
2024-01-17,11945.0135316286,-0.9293056429620306,13742.0,-0.5859798885914813
2024-01-18,12042.13774439133,-0.1237675687014827,13742.0,-0.5859798885914813
2024-01-19,12201.735083592584,0.0,13742.0,-0.5859798885914813
2024-01-22,12229.81005134431,0.0,13525.0,-2.155827244447661
2024-01-23,12266.484558767736,0.0,13595.0,-1.6494248715908322
2024-01-24,12275.36231884058,0.0,13371.0,-3.269912464732694
2024-01-25,12343.880415813035,0.0,13231.0,-4.282717210446362
2024-01-26,12325.922553557428,-0.1454798786984512,13063.0,-5.498082905302759
2024-01-29,12421.276272858337,0.0,13133.0,-4.991680532445919
2024-01-30,12416.723575385082,-0.0366524129505219,13133.0,-4.991680532445919
2024-01-31,12210.587550901688,-1.6961922215434688,13272.0,-3.986110106344498
2024-02-01,12368.41439664112,-0.4255752392588019,13426.0,-2.8720248860594655
2024-02-02,12488.80795204492,0.0,13503.0,-2.3149822759169547
2024-02-05,12448.845385335257,-0.3199870384997028,13272.0,-3.986110106344498
2024-02-06,12493.10772188077,0.0,13272.0,-3.986110106344498
2024-02-07,12593.519993929736,0.0,13272.0,-3.986110106344498
2024-02-08,12602.625388876242,0.0,13342.0,-3.479707733487669
2024-02-09,12672.686344436856,0.0,13342.0,-3.479707733487669
2024-02-12,12669.904140425424,-0.0219543349832429,13426.0,-2.8720248860594655
2024-02-13,12496.142853529604,-1.3931023471180026,13426.0,-2.8720248860594655
2024-02-14,12619.065685307434,-0.4231199105859784,13097.0,-5.252116038486577
2024-02-15,12697.473252902344,0.0,13188.0,-4.593792953772702
